date,max_rainfall_mm,mean_rainfall_mm,heavy_cells,very_heavy_cells,extreme_cells,severity_score
2015-08-19,679.2213134765625,8.19250202178955,60,19,11,699.7213134765625
2015-06-08,600.5465087890625,5.123401165008545,76,18,9,618.5465087890625
2015-06-25,531.925048828125,13.089824676513672,160,46,8,562.925048828125
2015-07-28,426.5783386230469,13.982284545898438,300,155,57,561.0783386230469
2015-06-10,474.5743103027344,6.005059719085693,129,41,10,505.0743103027344
2015-08-18,471.8529052734375,10.132742881774902,104,37,9,499.3529052734375
2015-06-01,473.43218994140625,5.694643497467041,79,31,8,496.93218994140625
2015-06-06,465.3493347167969,5.657739639282227,56,19,10,484.8493347167969
2015-07-29,378.90673828125,9.969688415527344,214,92,32,456.90673828125
2015-09-23,396.70599365234375,8.905935287475586,131,45,10,429.20599365234375
2015-12-02,399.8245849609375,2.465325355529785,39,26,13,425.8245849609375
2015-06-09,407.0118103027344,5.133546829223633,49,11,8,420.5118103027344
2015-06-07,368.58203125,4.173516750335693,80,39,12,400.08203125
2015-07-26,334.4832763671875,13.054893493652344,212,68,17,385.4832763671875
2015-08-31,361.489990234375,7.739688396453857,150,31,8,384.989990234375
2015-07-19,352.5901794433594,8.532090187072754,109,36,9,379.5901794433594
2015-08-20,329.96099853515625,8.777122497558594,142,48,18,371.96099853515625
2015-08-16,353.7885437011719,10.398822784423828,57,12,8,367.7885437011719
2015-11-10,327.3019714355469,4.166177272796631,121,56,5,360.3019714355469
2015-11-16,316.61993408203125,3.0978944301605225,72,41,18,355.11993408203125
2015-08-21,290.3908386230469,7.530297756195068,116,47,18,331.8908386230469
2015-07-27,290.5560607910156,11.079479217529297,185,54,9,326.5560607910156
2015-08-05,259.11737060546875,10.321744918823242,208,110,11,325.11737060546875
2015-06-22,292.21405029296875,13.150415420532227,244,53,6,324.71405029296875
2015-07-20,283.277099609375,10.850587844848633,172,47,15,321.777099609375
2015-07-11,302.2781677246094,12.252889633178711,149,26,2,317.2781677246094
2015-11-17,276.8761901855469,2.867879629135132,62,30,6,297.8761901855469
2015-07-16,273.1058044433594,7.956562042236328,100,18,1,283.1058044433594
2015-07-10,239.9053497314453,13.503125190734863,197,49,6,270.4053497314453
2015-11-13,265.74664306640625,1.7903896570205688,14,6,1,269.74664306640625
2015-06-21,217.8412322998047,10.932397842407227,256,95,3,268.3412322998047
2015-08-30,220.6914520263672,8.360028266906738,176,65,4,257.1914520263672
2015-07-24,240.85128784179688,11.799698829650879,119,17,7,256.3512878417969
2015-06-24,218.07781982421875,9.845584869384766,141,48,4,246.07781982421875
2015-07-25,218.1550750732422,11.199912071228027,166,49,2,244.6550750732422
2015-09-16,219.82791137695312,7.499886512756348,104,39,3,242.32791137695312
2015-08-12,231.833984375,9.301193237304688,47,1,1,233.333984375
2015-06-19,221.85443115234375,6.7555084228515625,66,13,2,230.35443115234375
2015-08-03,214.04415893554688,7.407864093780518,81,19,1,224.54415893554688
2015-06-14,218.83604431152344,9.030280113220215,62,7,1,223.33604431152344
2015-07-17,216.0755615234375,6.546841144561768,59,6,1,220.0755615234375
2015-07-04,212.47410583496094,3.752716064453125,38,12,1,219.47410583496094
2015-06-20,193.66932678222656,8.173434257507324,163,49,0,218.16932678222656
2015-11-11,211.13729858398438,1.6555521488189697,29,9,1,216.63729858398438
2015-08-04,205.01751708984375,8.033348083496094,100,21,1,216.51751708984375
2015-07-15,203.20620727539062,6.88854455947876,114,21,0,213.70620727539062
2015-07-21,199.98941040039062,8.587488174438477,68,20,0,209.98941040039062
2015-09-20,201.37545776367188,8.00660228729248,90,16,0,209.37545776367188
2015-06-23,191.6174774169922,10.511468887329102,147,22,0,202.6174774169922
2015-09-15,188.58804321289062,6.3600287437438965,77,22,0,199.58804321289062
2015-11-09,187.0528564453125,1.4992899894714355,39,18,0,196.0528564453125
2015-08-17,187.50723266601562,8.50677490234375,84,15,0,195.00723266601562
2015-09-19,182.3771209716797,5.581356048583984,77,18,0,191.3771209716797
2015-07-22,182.12786865234375,8.42599105834961,62,16,0,190.12786865234375
2015-07-12,180.08331298828125,7.523587226867676,80,14,0,187.08331298828125
2015-09-17,175.08978271484375,6.58876895904541,123,11,0,180.58978271484375
2015-08-01,171.043701171875,8.336983680725098,135,19,0,180.543701171875
2015-09-21,159.4813232421875,10.986279487609863,94,11,0,164.9813232421875
2015-09-18,155.23069763183594,6.298655986785889,136,19,0,164.73069763183594
2015-06-26,155.17410278320312,7.866945743560791,161,19,0,164.67410278320312
2015-06-28,147.8918914794922,5.345334053039551,77,11,0,153.3918914794922
2015-06-11,137.21109008789062,4.134846210479736,28,10,0,142.21109008789062
