year,date,max_rainfall_mm,mean_rainfall_mm,heavy_cells,very_heavy_cells,extreme_cells,severity_score
2015,2015-06-01,473.43218994140625,5.694643497467041,79,31,8,496.93218994140625
2015,2015-06-06,465.3493347167969,5.657739639282227,56,19,10,484.8493347167969
2015,2015-06-07,368.58203125,4.173516750335693,80,39,12,400.08203125
2015,2015-06-08,600.5465087890625,5.123401165008545,76,18,9,618.5465087890625
2015,2015-06-09,407.0118103027344,5.133546829223633,49,11,8,420.5118103027344
2015,2015-06-10,474.5743103027344,6.005059719085693,129,41,10,505.0743103027344
2015,2015-06-11,137.21109008789062,4.134846210479736,28,10,0,142.21109008789062
2015,2015-06-14,218.83604431152344,9.030280113220215,62,7,1,223.33604431152344
2015,2015-06-19,221.85443115234375,6.7555084228515625,66,13,2,230.35443115234375
2015,2015-06-20,193.66932678222656,8.173434257507324,163,49,0,218.16932678222656
2015,2015-06-21,217.8412322998047,10.932397842407227,256,95,3,268.3412322998047
2015,2015-06-22,292.21405029296875,13.150415420532227,244,53,6,324.71405029296875
2015,2015-06-23,191.6174774169922,10.511468887329102,147,22,0,202.6174774169922
2015,2015-06-24,218.07781982421875,9.845584869384766,141,48,4,246.07781982421875
2015,2015-06-25,531.925048828125,13.089824676513672,160,46,8,562.925048828125
2015,2015-06-26,155.17410278320312,7.866945743560791,161,19,0,164.67410278320312
2015,2015-06-28,147.8918914794922,5.345334053039551,77,11,0,153.3918914794922
2015,2015-07-04,212.47410583496094,3.752716064453125,38,12,1,219.47410583496094
2015,2015-07-10,239.9053497314453,13.503125190734863,197,49,6,270.4053497314453
2015,2015-07-11,302.2781677246094,12.252889633178711,149,26,2,317.2781677246094
2015,2015-07-12,180.08331298828125,7.523587226867676,80,14,0,187.08331298828125
2015,2015-07-15,203.20620727539062,6.88854455947876,114,21,0,213.70620727539062
2015,2015-07-16,273.1058044433594,7.956562042236328,100,18,1,283.1058044433594
2015,2015-07-17,216.0755615234375,6.546841144561768,59,6,1,220.0755615234375
2015,2015-07-19,352.5901794433594,8.532090187072754,109,36,9,379.5901794433594
2015,2015-07-20,283.277099609375,10.850587844848633,172,47,15,321.777099609375
2015,2015-07-21,199.98941040039062,8.587488174438477,68,20,0,209.98941040039062
2015,2015-07-22,182.12786865234375,8.42599105834961,62,16,0,190.12786865234375
2015,2015-07-24,240.85128784179688,11.799698829650879,119,17,7,256.3512878417969
2015,2015-07-25,218.1550750732422,11.199912071228027,166,49,2,244.6550750732422
